PTEV,Gamma,Trajectory,NumAttributes,RuminationFrequency,PTES,W,Proportion
20,0.95,Delayed,4,0,0.5,4,0.52
20,0.95,Delayed,4,0,0.75,4,0.36
20,0.95,Delayed,4,0,0.75,8,0.5
20,0.95,Delayed,4,20,0,4,0.42
20,0.95,Delayed,4,20,0,8,0.14
20,0.95,Delayed,4,20,0,12,0.14
20,0.95,Delayed,4,20,0.25,4,0.6
20,0.95,Delayed,4,20,0.25,8,0.14
20,0.95,Delayed,4,20,0.25,12,0.2
20,0.95,Delayed,4,20,0.5,4,0.7
20,0.95,Delayed,4,20,0.5,8,0.38
20,0.95,Delayed,4,20,0.5,12,0.28
20,0.95,Delayed,4,20,0.75,4,0.58
20,0.95,Delayed,4,20,0.75,8,0.54
20,0.95,Delayed,4,20,0.75,12,0.46
20,0.95,Delayed,6,0,0.25,4,0.26
20,0.95,Delayed,6,0,0.5,4,0.5
20,0.95,Delayed,6,0,0.5,8,0.38
20,0.95,Delayed,6,0,0.75,4,0.44
20,0.95,Delayed,6,0,0.75,8,0.24
20,0.95,Delayed,6,0,0.75,12,0.08
20,0.95,Delayed,6,20,0,4,0.42
20,0.95,Delayed,6,20,0,8,0.2
20,0.95,Delayed,6,20,0,12,0.08
20,0.95,Delayed,6,20,0.25,4,0.38
20,0.95,Delayed,6,20,0.25,8,0.42
20,0.95,Delayed,6,20,0.25,12,0.08
20,0.95,Delayed,6,20,0.5,4,0.42
20,0.95,Delayed,6,20,0.5,8,0.34
20,0.95,Delayed,6,20,0.5,12,0.3
20,0.95,Delayed,6,20,0.75,4,0.6
20,0.95,Delayed,6,20,0.75,8,0.24
20,0.95,Delayed,6,20,0.75,12,0.5
20,0.95,Recovery,4,0,0.25,4,0.02
20,0.95,Recovery,4,0,0.5,4,0.04
20,0.95,Recovery,4,0,0.5,8,0.02
20,0.95,Recovery,4,0,0.75,8,0.04
20,0.95,Recovery,4,20,0,12,0.02
20,0.95,Recovery,4,20,0.25,12,0.06
20,0.95,Recovery,4,20,0.5,8,0.08
20,0.95,Recovery,4,20,0.75,8,0.04
20,0.95,Recovery,6,0,0,4,0.02
20,0.95,Recovery,6,0,0.25,4,0.02
20,0.95,Recovery,6,0,0.5,4,0.04
20,0.95,Recovery,6,0,0.5,8,0.02
20,0.95,Recovery,6,0,0.75,4,0.04
20,0.95,Recovery,6,0,0.75,8,0.14
20,0.95,Recovery,6,0,0.75,12,0.02
20,0.95,Recovery,6,20,0,8,0.04
20,0.95,Recovery,6,20,0,12,0.02
20,0.95,Recovery,6,20,0.25,8,0.06
20,0.95,Recovery,6,20,0.25,12,0.02
20,0.95,Recovery,6,20,0.5,8,0.04
20,0.95,Recovery,6,20,0.5,12,0.04
20,0.95,Recovery,6,20,0.75,8,0.02
20,0.95,Recovery,6,20,0.75,12,0.08
20,0.95,Resilient,4,0,0,4,0.88
20,0.95,Resilient,4,0,0,8,1
20,0.95,Resilient,4,0,0,12,1
20,0.95,Resilient,4,0,0.25,4,0.46
20,0.95,Resilient,4,0,0.25,8,1
20,0.95,Resilient,4,0,0.25,12,1
20,0.95,Resilient,4,0,0.5,4,0.16
20,0.95,Resilient,4,0,0.5,8,0.88
20,0.95,Resilient,4,0,0.5,12,1
20,0.95,Resilient,4,0,0.75,12,0.82
20,0.95,Resilient,4,20,0,4,0.44
20,0.95,Resilient,4,20,0,8,0.76
20,0.95,Resilient,4,20,0,12,0.74
20,0.95,Resilient,4,20,0.25,4,0.08
20,0.95,Resilient,4,20,0.25,8,0.64
20,0.95,Resilient,4,20,0.25,12,0.6
20,0.95,Resilient,4,20,0.5,4,0.04
20,0.95,Resilient,4,20,0.5,8,0.28
20,0.95,Resilient,4,20,0.5,12,0.68
20,0.95,Resilient,4,20,0.75,8,0.02
20,0.95,Resilient,4,20,0.75,12,0.26
20,0.95,Resilient,6,0,0,4,0.9
20,0.95,Resilient,6,0,0,8,1
20,0.95,Resilient,6,0,0,12,1
20,0.95,Resilient,6,0,0.25,4,0.54
20,0.95,Resilient,6,0,0.25,8,0.96
20,0.95,Resilient,6,0,0.25,12,1
20,0.95,Resilient,6,0,0.5,4,0.16
20,0.95,Resilient,6,0,0.5,8,0.24
20,0.95,Resilient,6,0,0.5,12,0.98
20,0.95,Resilient,6,0,0.75,4,0.06
20,0.95,Resilient,6,0,0.75,12,0.48
20,0.95,Resilient,6,20,0,4,0.42
20,0.95,Resilient,6,20,0,8,0.62
20,0.95,Resilient,6,20,0,12,0.8
20,0.95,Resilient,6,20,0.25,4,0.24
20,0.95,Resilient,6,20,0.25,8,0.32
20,0.95,Resilient,6,20,0.25,12,0.76
20,0.95,Resilient,6,20,0.5,4,0.14
20,0.95,Resilient,6,20,0.5,8,0.18
20,0.95,Resilient,6,20,0.5,12,0.52
20,0.95,Resilient,6,20,0.75,4,0.04
20,0.95,Resilient,6,20,0.75,12,0.08
40,0.8,Chronic,4,0,0,4,0.18
40,0.8,Chronic,4,0,0.25,4,0.22
40,0.8,Chronic,4,0,0.5,4,0.3
40,0.8,Chronic,4,0,0.5,8,0.26
40,0.8,Chronic,4,0,0.75,4,0.88
40,0.8,Chronic,4,0,0.75,8,0.38
40,0.8,Chronic,4,0,0.75,12,0.28
40,0.8,Chronic,4,20,0,4,0.22
40,0.8,Chronic,4,20,0,8,0.1
40,0.8,Chronic,4,20,0,12,0.32
40,0.8,Chronic,4,20,0.25,4,0.4
40,0.8,Chronic,4,20,0.25,8,0.14
40,0.8,Chronic,4,20,0.25,12,0.22
40,0.8,Chronic,4,20,0.5,4,0.94
40,0.8,Chronic,4,20,0.5,8,0.12
40,0.8,Chronic,4,20,0.5,12,0.24
40,0.8,Chronic,4,20,0.75,4,0.9
40,0.8,Chronic,4,20,0.75,8,0.36
40,0.8,Chronic,4,20,0.75,12,0.24
40,0.8,Chronic,6,0,0,4,0.14
40,0.8,Chronic,6,0,0.25,4,0.22
